%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,    TC.log,      RHOC.log,       RHP,,
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),    W/(mK),   kJ/(m³K),     µW/m³,,
123.5,11.850,5.461,1.479,0.270,2.205,4.642,6.281,1.257,1.700,3.014,2.200,0.139,,
124,11.870,6.073,1.001,0.334,2.099,5.162,6.984,0.851,1.151,2.811,2.052,0.137,,
124.5,11.890,5.015,0.892,0.334,2.099,4.263,5.768,0.759,1.026,2.475,1.980,0.237,,
125,11.910,3.481,1.820,0.175,2.361,2.959,4.004,1.547,2.094,2.562,2.228,0.319,,
125.5,11.930,3.290,2.885,0.128,2.440,2.797,3.784,2.453,3.318,2.651,3.047,0.551,,
126,11.950,3.023,2.600,0.128,2.440,2.569,3.476,2.210,2.990,2.462,2.797,0.543,,
126.5,11.970,2.776,2.736,0.038,2.588,2.360,3.193,2.326,3.147,2.622,2.789,0.493,,
127,11.990,2.971,3.106,0.038,2.588,2.525,3.417,2.640,3.571,2.799,3.145,0.536,,
127.5,12.010,2.711,2.796,0.038,2.588,2.304,3.117,2.377,3.216,2.562,2.847,0.530,,
128,12.020,2.660,2.452,0.038,2.588,2.261,3.059,2.085,2.820,2.516,2.516,0.449,,
128.5,12.040,2.614,2.409,0.038,2.588,2.222,3.006,2.047,2.770,2.474,2.474,0.448,,
129,12.060,2.456,2.653,0.038,2.588,2.087,2.824,2.255,3.051,2.330,2.709,0.560,,
129.5,12.070,2.721,2.875,0.038,2.588,2.313,3.130,2.444,3.306,2.572,2.923,0.545,,
130,12.090,2.627,3.329,0.038,2.588,2.233,3.021,2.830,3.829,2.486,3.360,0.655,,
130.5,12.100,2.678,2.934,0.038,2.588,2.276,3.080,2.494,3.374,2.533,2.979,0.567,,
131,12.110,2.680,2.701,0.038,2.588,2.278,3.082,2.296,3.106,2.535,2.755,0.513,,
131.5,12.130,2.835,3.071,0.038,2.588,2.410,3.261,2.610,3.531,2.676,3.111,0.562,,
132,12.140,3.068,3.134,0.038,2.588,2.608,3.528,2.664,3.604,2.887,3.172,0.521,,
132.5,12.160,3.116,3.009,0.038,2.588,2.649,3.584,2.558,3.461,2.930,3.052,0.529,,
133,12.170,3.169,2.757,0.038,2.588,2.693,3.644,2.343,3.171,2.978,2.809,0.419,,
133.5,12.180,3.261,2.653,0.038,2.588,2.772,3.750,2.255,3.051,3.061,2.709,0.341,,
134,12.190,4.066,2.142,0.178,2.357,3.456,4.676,1.821,2.463,2.898,2.499,0.310,,
134.5,12.200,4.215,2.104,0.178,2.357,3.583,4.847,1.789,2.420,2.986,2.467,0.256,,
135,12.210,4.204,2.227,0.178,2.357,3.574,4.835,1.893,2.561,2.979,2.568,0.311,,
135.5,12.230,4.168,2.232,0.178,2.357,3.543,4.794,1.897,2.567,2.958,2.572,0.324,,
136,12.240,3.405,2.550,0.068,2.539,2.894,3.915,2.167,2.932,3.030,2.658,0.326,,
136.5,12.250,5.409,1.830,0.278,2.192,4.598,6.221,1.556,2.105,2.944,2.474,0.292,,
137,12.270,5.732,1.947,0.278,2.192,4.872,6.591,1.655,2.239,3.070,2.558,0.279,,
137.5,12.280,5.775,1.879,0.278,2.192,4.909,6.642,1.597,2.161,3.087,2.509,0.254,,
138,12.290,5.714,1.825,0.278,2.192,4.857,6.572,1.551,2.099,3.063,2.470,0.246,,
138.5,12.310,5.408,1.614,0.278,2.192,4.597,6.219,1.372,1.856,2.943,2.318,0.221,,
139,12.320,5.915,1.856,0.278,2.192,5.028,6.803,1.577,2.134,3.140,2.492,0.234,,
139.5,12.330,5.968,2.113,0.278,2.192,5.072,6.863,1.796,2.430,3.160,2.678,0.294,,
140,12.340,5.630,1.608,0.278,2.192,4.785,6.474,1.366,1.849,3.030,2.313,0.189,,
140.5,12.360,5.667,1.574,0.278,2.192,4.817,6.517,1.338,1.811,3.045,2.289,0.178,,
141,12.370,6.036,1.963,0.278,2.192,5.131,6.941,1.669,2.257,3.187,2.570,0.247,,
141.5,12.390,5.839,1.824,0.278,2.192,4.963,6.715,1.550,2.097,3.111,2.469,0.230,,
142,12.410,5.850,1.648,0.278,2.192,4.972,6.727,1.401,1.895,3.115,2.342,0.176,,
142.5,12.430,5.408,1.540,0.278,2.192,4.597,6.219,1.309,1.771,2.943,2.264,0.202,,
143,12.450,4.533,1.230,0.278,2.192,3.853,5.213,1.045,1.414,2.591,2.040,0.224,,
143.5,12.470,3.524,1.100,0.278,2.192,2.996,4.053,0.935,1.265,2.160,1.946,0.355,,
144,12.490,4.956,2.377,0.375,2.031,4.213,5.700,2.020,2.734,2.251,3.042,0.662,,
144.5,12.510,6.650,5.398,0.400,1.990,5.652,7.647,4.588,6.208,2.547,4.899,0.839,,
145,12.530,6.220,2.600,0.400,1.990,5.287,7.153,2.210,2.991,2.447,3.220,0.640,,
145.5,12.550,6.789,2.118,0.400,1.990,5.771,7.807,1.801,2.436,2.579,2.931,0.546,,
146,12.570,7.610,2.683,0.410,1.974,6.469,8.752,2.280,3.085,2.693,3.284,0.590,,
146.5,12.590,7.456,2.020,0.400,1.990,6.338,8.575,1.717,2.323,2.729,2.872,0.490,,
147,12.618,6.477,1.371,0.400,1.990,5.505,7.448,1.165,1.577,2.507,2.483,0.436,,
147.5,12.640,7.324,1.644,0.400,1.990,6.225,8.422,1.397,1.891,2.699,2.646,0.427,,
148,12.668,6.446,1.969,0.400,1.990,5.479,7.413,1.673,2.264,2.500,2.841,0.544,,
148.5,12.700,8.592,2.410,0.380,2.023,7.303,9.881,2.049,2.772,3.133,3.071,0.430,,
149,12.730,8.592,3.134,0.380,2.023,7.303,9.881,2.664,3.604,3.133,3.520,0.532,,
149.5,12.760,7.811,1.551,0.360,2.056,6.639,8.983,1.318,1.783,3.108,2.487,0.240,,
150,12.780,5.955,1.026,0.340,2.089,5.062,6.848,0.872,1.179,2.735,2.088,0.191,,
150.5,12.813,8.001,-0.276,0.473,1.870,6.801,9.201,-0.234,-0.317,2.360,1.816,0.199,,
151,12.850,7.479,0.138,0.473,1.870,6.357,8.600,0.117,0.159,2.278,2.034,0.348,,
151.5,12.870,6.145,1.149,0.473,1.870,5.223,7.066,0.976,1.321,2.053,2.567,0.610,,
152,12.900,6.834,1.700,0.473,1.870,5.809,7.860,1.445,1.955,2.172,2.858,0.643,,
152.5,12.930,6.795,2.696,0.473,1.870,5.776,7.814,2.292,3.101,2.165,3.383,0.742,,
153,12.965,7.088,3.397,0.473,1.870,6.024,8.151,2.887,3.906,2.214,3.753,0.786,,
153.5,12.990,7.222,2.804,0.473,1.870,6.139,8.305,2.384,3.225,2.236,3.440,0.735,,
154,13.020,7.320,3.059,0.473,1.870,6.222,8.418,2.600,3.518,2.252,3.575,0.750,,
154.5,13.040,6.868,2.016,0.473,1.870,5.838,7.898,1.714,2.319,2.178,3.024,0.675,,
155,13.070,7.853,2.612,0.473,1.870,6.675,9.031,2.220,3.004,2.337,3.339,0.693,,
155.5,13.105,7.103,2.286,0.473,1.870,6.038,8.169,1.943,2.628,2.217,3.167,0.693,,
156,13.138,6.619,1.905,0.473,1.870,5.626,7.612,1.620,2.191,2.136,2.966,0.677,,
156.5,13.163,5.657,1.186,0.473,1.870,4.808,6.505,1.008,1.364,1.966,2.586,0.642,,
157,13.190,6.430,2.234,0.473,1.870,5.466,7.395,1.899,2.569,2.103,3.139,0.718,,
157.5,13.223,8.270,3.747,0.473,1.870,7.030,9.511,3.185,4.309,2.402,3.937,0.768,,
158,13.260,7.880,4.208,0.473,1.870,6.698,9.061,3.577,4.840,2.341,4.181,0.809,,
158.5,13.290,6.735,4.364,0.400,1.990,5.725,7.745,3.709,5.018,2.567,4.278,0.775,,
159,13.313,7.539,1.703,0.473,1.870,6.408,8.670,1.447,1.958,2.287,2.859,0.608,,
159.5,13.348,5.792,1.314,0.473,1.870,4.923,6.661,1.116,1.511,1.990,2.654,0.649,,
160,13.370,5.424,0.288,0.473,1.870,4.610,6.238,0.245,0.331,1.923,2.113,0.519,,
160.5,13.400,8.064,2.194,0.473,1.870,6.854,9.273,1.865,2.523,2.370,3.118,0.638,,
161,13.420,7.428,4.080,0.420,1.957,6.314,8.542,3.468,4.692,2.589,4.110,0.745,,
161.5,13.440,6.943,6.309,0.390,2.007,5.901,7.984,5.362,7.255,2.679,5.467,0.863,,
162,13.470,7.636,4.057,0.370,2.040,6.490,8.781,3.448,4.665,2.987,4.091,0.669,,
162.5,13.490,7.959,3.982,0.340,2.089,6.765,9.153,3.385,4.580,3.312,4.039,0.589,,
163,13.520,7.166,3.161,0.310,2.139,6.091,8.241,2.687,3.635,3.329,3.467,0.477,,
163.5,13.540,6.340,2.421,0.280,2.188,5.389,7.291,2.058,2.784,3.283,2.905,0.340,,
164,13.560,6.428,2.005,0.291,2.170,5.464,7.392,1.704,2.306,3.233,2.628,0.232,,
164.5,13.580,3.894,2.098,0.109,2.471,3.310,4.478,1.783,2.412,3.179,2.321,0.087,,
165,13.590,3.828,2.096,0.109,2.471,3.253,4.402,1.782,2.410,3.131,2.319,0.107,,
165.5,13.610,3.883,2.130,0.109,2.471,3.301,4.466,1.810,2.449,3.172,2.349,0.109,,
166,13.620,3.878,2.187,0.109,2.471,3.297,4.460,1.859,2.515,3.168,2.400,0.143,,
166.5,13.630,3.806,2.224,0.109,2.471,3.235,4.377,1.891,2.558,3.115,2.434,0.185,,
167,13.650,3.819,2.233,0.109,2.471,3.246,4.392,1.898,2.568,3.125,2.441,0.187,,
167.5,13.660,3.835,2.222,0.109,2.471,3.260,4.411,1.889,2.555,3.137,2.432,0.170,,
168,13.680,3.672,2.119,0.109,2.471,3.122,4.223,1.801,2.436,3.018,2.339,0.169,,
168.5,13.690,3.511,2.055,0.109,2.471,2.984,4.038,1.747,2.363,2.899,2.283,0.196,,
169,13.700,3.584,2.102,0.109,2.471,3.046,4.121,1.787,2.418,2.953,2.325,0.194,,
169.5,13.710,3.760,2.352,0.109,2.471,3.196,4.324,1.999,2.704,3.082,2.547,0.255,,
170,13.720,3.824,2.371,0.109,2.471,3.250,4.398,2.015,2.727,3.129,2.564,0.262,,
170.5,13.730,3.845,2.535,0.109,2.471,3.268,4.422,2.155,2.915,3.144,2.710,0.315,,
171,13.740,3.644,2.142,0.109,2.471,3.098,4.191,1.820,2.463,2.997,2.360,0.221,,
171.5,13.753,3.817,2.253,0.109,2.471,3.244,4.390,1.915,2.591,3.124,2.459,0.224,,
172,13.770,3.847,2.187,0.109,2.471,3.270,4.424,1.859,2.516,3.145,2.401,0.191,,
172.5,13.780,3.715,2.253,0.109,2.471,3.158,4.272,1.915,2.591,3.049,2.459,0.245,,
173,13.790,3.616,2.187,0.109,2.471,3.073,4.158,1.859,2.515,2.976,2.400,0.251,,
173.5,13.810,3.719,2.107,0.109,2.471,3.161,4.276,1.791,2.424,3.052,2.330,0.193,,
174,13.828,3.724,2.111,0.109,2.471,3.165,4.282,1.794,2.427,3.055,2.332,0.191,,
174.5,13.840,3.667,2.199,0.109,2.471,3.117,4.218,1.869,2.529,3.014,2.411,0.238,,
175,13.860,3.497,2.151,0.109,2.471,2.972,4.022,1.828,2.473,2.889,2.368,0.267,,
175.5,13.880,3.587,2.125,0.109,2.471,3.049,4.125,1.806,2.444,2.955,2.345,0.230,,
176,13.890,3.476,2.053,0.109,2.471,2.955,3.998,1.745,2.361,2.874,2.281,0.232,,
176.5,13.910,3.386,2.119,0.109,2.471,2.878,3.894,1.801,2.437,2.808,2.340,0.279,,
177,13.930,3.501,2.243,0.109,2.471,2.975,4.026,1.907,2.580,2.892,2.451,0.298,,
177.5,13.960,3.544,2.273,0.109,2.471,3.012,4.075,1.932,2.614,2.923,2.478,0.296,,
178,13.980,3.494,2.385,0.109,2.471,2.970,4.018,2.028,2.743,2.887,2.577,0.349,,
178.5,14.000,3.493,2.464,0.109,2.471,2.969,4.017,2.095,2.834,2.886,2.648,0.374,,
179,14.010,3.486,2.304,0.109,2.471,2.963,4.009,1.959,2.650,2.881,2.505,0.321,,
179.5,14.020,3.532,2.313,0.109,2.471,3.002,4.062,1.966,2.660,2.915,2.513,0.316,,
180,14.040,3.496,2.413,0.109,2.471,2.971,4.020,2.051,2.775,2.888,2.602,0.355,,
180.5,14.060,3.405,2.270,0.109,2.471,2.894,3.915,1.930,2.611,2.821,2.474,0.332,,
181,14.080,3.248,2.156,0.109,2.471,2.761,3.735,1.833,2.479,2.705,2.373,0.328,,
181.5,14.093,3.263,2.167,0.109,2.471,2.774,3.753,1.842,2.492,2.716,2.383,0.326,,
182,14.110,3.258,2.163,0.109,2.471,2.769,3.746,1.839,2.487,2.712,2.379,0.333,,
182.5,14.130,3.293,2.365,0.109,2.471,2.799,3.787,2.010,2.720,2.738,2.559,0.388,,
183,14.140,3.276,2.463,0.109,2.471,2.785,3.768,2.094,2.833,2.726,2.647,0.424,,
183.5,14.160,3.298,2.481,0.109,2.471,2.804,3.793,2.109,2.853,2.742,2.663,0.421,,
184,14.170,3.294,2.478,0.109,2.471,2.800,3.788,2.106,2.849,2.739,2.660,0.424,,
184.5,14.190,3.444,2.629,0.109,2.471,2.928,3.961,2.234,3.023,2.850,2.794,0.426,,
185,14.200,3.604,2.726,0.109,2.471,3.063,4.144,2.317,3.135,2.968,2.881,0.424,,
185.5,14.220,3.523,2.631,0.109,2.471,2.994,4.051,2.236,3.026,2.908,2.796,0.412,,
186,14.230,3.560,2.601,0.109,2.471,3.026,4.094,2.211,2.991,2.935,2.769,0.397,,
186.5,14.250,3.525,2.383,0.109,2.471,2.996,4.054,2.025,2.740,2.910,2.575,0.338,,
187,14.260,3.542,2.272,0.109,2.471,3.011,4.074,1.932,2.613,2.922,2.477,0.295,,
187.5,14.270,3.426,2.238,0.109,2.471,2.912,3.940,1.902,2.573,2.837,2.445,0.312,,
188,14.280,3.560,2.285,0.109,2.471,3.026,4.094,1.942,2.627,2.935,2.488,0.299,,
188.5,14.300,3.586,2.351,0.109,2.471,3.048,4.124,1.998,2.704,2.954,2.547,0.315,,
189,14.303,3.431,2.314,0.109,2.471,2.916,3.946,1.967,2.661,2.840,2.514,0.339,,
189.5,14.320,3.460,2.361,0.109,2.471,2.941,3.979,2.007,2.715,2.862,2.555,0.343,,
190,14.338,3.444,2.204,0.109,2.471,2.928,3.961,1.873,2.534,2.850,2.415,0.299,,
190.5,14.350,3.455,2.282,0.109,2.471,2.936,3.973,1.940,2.624,2.858,2.485,0.324,,
191,14.360,3.421,2.383,0.109,2.471,2.907,3.934,2.026,2.740,2.833,2.575,0.364,,
191.5,14.380,3.414,2.327,0.109,2.471,2.902,3.926,1.978,2.676,2.828,2.525,0.346,,
192,14.390,3.461,2.467,0.109,2.471,2.942,3.980,2.097,2.838,2.862,2.650,0.380,,
192.5,14.400,3.310,2.201,0.109,2.471,2.814,3.807,1.871,2.532,2.751,2.413,0.331,,
193,14.420,3.402,2.369,0.109,2.471,2.891,3.912,2.014,2.724,2.819,2.563,0.362,,
193.5,14.430,3.390,2.259,0.109,2.471,2.881,3.898,1.920,2.598,2.810,2.465,0.332,,
194,14.440,3.460,2.387,0.109,2.471,2.941,3.979,2.029,2.745,2.862,2.578,0.356,,
194.5,14.450,3.470,2.531,0.109,2.471,2.949,3.990,2.151,2.910,2.869,2.707,0.394,,
195,14.470,3.394,2.363,0.109,2.471,2.885,3.903,2.009,2.718,2.813,2.557,0.364,,
195.5,14.473,3.614,2.584,0.109,2.471,3.072,4.156,2.197,2.972,2.975,2.754,0.379,,
196,14.490,3.471,2.369,0.109,2.471,2.951,3.992,2.014,2.724,2.870,2.563,0.343,,
196.5,14.500,4.514,2.202,0.218,2.291,3.837,5.192,1.872,2.533,2.915,2.626,0.353,,
197,14.510,4.508,2.229,0.218,2.291,3.832,5.185,1.895,2.564,2.912,2.647,0.367,,
197.5,14.530,4.390,1.935,0.218,2.291,3.731,5.048,1.645,2.225,2.852,2.417,0.301,,
198,14.540,4.365,2.001,0.218,2.291,3.710,5.019,1.701,2.301,2.839,2.469,0.323,,
198.5,14.550,4.463,2.029,0.218,2.291,3.793,5.132,1.724,2.333,2.889,2.490,0.315,,
199,14.560,4.421,2.061,0.218,2.291,3.758,5.084,1.752,2.370,2.868,2.515,0.328,,
199.5,14.570,4.412,2.143,0.218,2.291,3.750,5.074,1.821,2.464,2.863,2.579,0.357,,
200,14.590,4.521,2.206,0.218,2.291,3.842,5.199,1.875,2.537,2.918,2.629,0.351,,
200.5,14.600,4.483,2.096,0.218,2.291,3.811,5.155,1.782,2.411,2.899,2.543,0.333,,
201,14.610,4.323,2.005,0.218,2.291,3.675,4.972,1.704,2.306,2.818,2.472,0.329,,
201.5,14.630,4.176,1.921,0.218,2.291,3.550,4.802,1.633,2.209,2.742,2.406,0.330,,
202,14.640,4.258,1.914,0.218,2.291,3.619,4.897,1.627,2.201,2.784,2.400,0.316,,
202.5,14.650,4.746,2.368,0.218,2.291,4.034,5.458,2.013,2.723,3.031,2.756,0.361,,
203,14.655,4.821,2.512,0.218,2.291,4.098,5.544,2.135,2.888,3.069,2.868,0.384,,
203.5,14.670,4.624,2.461,0.218,2.291,3.931,5.318,2.092,2.831,2.970,2.829,0.403,,
204,14.680,4.451,2.022,0.218,2.291,3.783,5.118,1.719,2.325,2.882,2.485,0.312,,
204.5,14.690,4.405,1.793,0.218,2.291,3.744,5.066,1.524,2.062,2.859,2.306,0.246,,
205,14.703,4.472,1.828,0.218,2.291,3.801,5.143,1.554,2.102,2.893,2.333,0.247,,
205.5,14.720,4.365,1.974,0.218,2.291,3.710,5.019,1.678,2.270,2.839,2.447,0.313,,
206,14.730,4.529,2.151,0.218,2.291,3.849,5.208,1.828,2.474,2.922,2.586,0.341,,
206.5,14.743,4.546,2.161,0.218,2.291,3.864,5.228,1.837,2.485,2.931,2.594,0.339,,
207,14.760,4.409,2.026,0.218,2.291,3.748,5.070,1.722,2.330,2.861,2.488,0.322,,
207.5,14.770,4.498,2.286,0.218,2.291,3.823,5.173,1.943,2.629,2.907,2.691,0.376,,
208,14.780,4.273,1.896,0.218,2.291,3.632,4.914,1.612,2.181,2.792,2.386,0.308,,
208.5,14.797,4.369,2.031,0.218,2.291,3.713,5.024,1.726,2.336,2.841,2.492,0.333,,
209,14.810,4.434,2.097,0.218,2.291,3.769,5.100,1.782,2.412,2.874,2.544,0.339,,
209.5,14.820,4.283,2.038,0.218,2.291,3.641,4.926,1.733,2.344,2.797,2.498,0.343,,
210,14.830,4.135,1.952,0.218,2.291,3.515,4.755,1.659,2.244,2.721,2.430,0.349,,
210.5,14.840,4.196,1.960,0.218,2.291,3.567,4.825,1.666,2.253,2.753,2.436,0.342,,
211,14.860,4.208,2.023,0.218,2.291,3.577,4.839,1.719,2.326,2.759,2.485,0.353,,
211.5,14.870,4.041,2.131,0.218,2.291,3.435,4.647,1.811,2.450,2.673,2.570,0.410,,
212,14.890,4.205,2.335,0.218,2.291,3.574,4.836,1.985,2.686,2.757,2.730,0.439,,
212.5,14.900,4.356,2.296,0.218,2.291,3.702,5.009,1.952,2.640,2.834,2.699,0.405,,
213,14.920,4.164,2.209,0.218,2.291,3.540,4.789,1.877,2.540,2.736,2.631,0.414,,
213.5,14.930,3.910,2.142,0.218,2.291,3.324,4.497,1.821,2.464,2.605,2.579,0.438,,
214,14.950,3.889,1.944,0.218,2.291,3.305,4.472,1.653,2.236,2.594,2.424,0.387,,
214.5,14.960,3.918,2.022,0.218,2.291,3.331,4.506,1.719,2.325,2.609,2.485,0.406,,
215,14.967,3.850,2.039,0.218,2.291,3.272,4.427,1.733,2.345,2.573,2.498,0.418,,
215.5,14.990,3.534,2.118,0.218,2.291,3.004,4.064,1.800,2.436,2.406,2.560,0.492,,
216,15.000,3.181,1.767,0.218,2.291,2.704,3.659,1.502,2.032,2.217,2.285,0.468,,
216.5,15.020,3.510,2.171,0.218,2.291,2.983,4.036,1.846,2.497,2.394,2.602,0.512,,
217,15.030,3.486,2.304,0.218,2.291,2.963,4.008,1.958,2.649,2.381,2.705,0.544,,
217.5,15.043,3.447,3.036,0.218,2.291,2.930,3.964,2.580,3.491,2.360,3.278,0.672,,
218,15.060,2.962,2.619,0.218,2.291,2.518,3.406,2.226,3.012,2.096,2.952,0.687,,
218.5,15.070,2.594,2.455,0.131,2.433,2.205,2.983,2.087,2.824,2.142,2.678,0.612,,
219,15.090,2.791,3.075,0.131,2.433,2.373,3.210,2.614,3.536,2.283,3.216,0.681,,
219.5,15.100,3.071,3.130,0.131,2.433,2.610,3.532,2.661,3.600,2.481,3.264,0.641,,
220,15.105,3.332,4.398,0.131,2.433,2.832,3.832,3.738,5.058,2.663,4.365,0.767,,
220.5,15.130,3.295,3.649,0.131,2.433,2.801,3.789,3.101,4.196,2.637,3.714,0.683,,
221,15.140,2.716,2.841,0.131,2.433,2.308,3.123,2.415,3.267,2.229,3.013,0.660,,
221.5,15.160,2.576,2.066,0.131,2.433,2.189,2.962,1.757,2.376,2.129,2.340,0.519,,
222,15.170,3.009,2.357,0.131,2.433,2.558,3.460,2.004,2.711,2.437,2.593,0.491,,
222.5,15.180,2.680,2.161,0.131,2.433,2.278,3.082,1.836,2.485,2.204,2.422,0.521,,
223,15.200,2.644,3.172,0.131,2.433,2.247,3.040,2.696,3.647,2.178,3.300,0.724,,
223.5,15.210,2.537,2.555,0.131,2.433,2.156,2.917,2.172,2.939,2.101,2.765,0.645,,
224,15.230,2.723,2.510,0.131,2.433,2.314,3.131,2.133,2.886,2.235,2.725,0.597,,
224.5,15.240,2.665,3.199,0.131,2.433,2.266,3.065,2.719,3.678,2.193,3.323,0.722,,
225,15.260,2.547,1.663,0.131,2.433,2.165,2.929,1.414,1.913,2.109,1.989,0.719,,
225.5,15.270,2.522,1.687,0.131,2.433,2.144,2.901,1.434,1.940,2.091,2.010,0.743,,
226,15.280,2.310,1.457,0.131,2.433,1.963,2.656,1.238,1.675,1.937,1.810,0.708,,
226.5,15.310,1.648,0.987,0.131,2.433,1.401,1.895,0.839,1.135,1.444,1.402,0.760,,
227,15.320,2.342,1.542,0.131,2.433,1.990,2.693,1.311,1.774,1.960,1.885,0.744,,
227.5,15.330,2.512,1.820,0.131,2.433,2.135,2.888,1.547,2.093,2.083,2.126,0.816,,
228,15.350,2.572,2.637,0.131,2.433,2.186,2.958,2.242,3.033,2.127,2.836,1.086,,
228.5,15.360,2.719,2.799,0.131,2.433,2.311,3.127,2.379,3.218,2.232,2.976,1.085,,
229,15.380,2.788,2.079,0.131,2.433,2.370,3.206,1.768,2.391,2.281,2.351,0.825,,
229.5,15.400,2.665,1.898,0.131,2.433,2.266,3.065,1.613,2.183,2.193,2.193,0.789,,
230,15.410,2.455,1.591,0.131,2.433,2.087,2.823,1.352,1.829,2.042,1.927,0.724,,
230.5,15.430,2.324,1.429,0.131,2.433,1.975,2.673,1.215,1.644,1.947,1.786,0.689,,
231,15.450,2.338,1.479,0.131,2.433,1.987,2.689,1.257,1.701,1.957,1.829,0.707,,
231.5,15.465,2.441,1.600,0.131,2.433,2.075,2.807,1.360,1.841,2.032,1.935,0.730,,
232,15.480,2.444,1.787,0.131,2.433,2.078,2.811,1.519,2.055,2.034,2.097,0.830,,
232.5,15.500,2.356,1.812,0.131,2.433,2.002,2.709,1.540,2.083,1.970,2.119,0.881,,
233,15.520,2.554,1.934,0.131,2.433,2.171,2.938,1.644,2.225,2.114,2.225,0.852,,
233.5,15.530,2.391,1.717,0.131,2.433,2.032,2.750,1.460,1.975,1.996,2.037,0.813,,
234,15.550,2.469,1.784,0.131,2.433,2.099,2.839,1.516,2.051,2.052,2.094,0.820,,
234.5,15.570,2.430,1.751,0.131,2.433,2.065,2.794,1.488,2.013,2.024,2.065,0.814,,
235,15.590,2.544,1.797,0.131,2.433,2.162,2.925,1.528,2.067,2.106,2.106,0.796,,
235.5,15.607,2.676,1.882,0.131,2.433,2.275,3.078,1.599,2.164,2.201,2.179,0.777,,
236,15.620,2.430,1.751,0.131,2.433,2.065,2.794,1.488,2.013,2.024,2.065,0.817,,
236.5,15.640,2.437,1.709,0.131,2.433,2.071,2.803,1.453,1.965,2.029,2.029,0.798,,
237,15.660,2.387,1.517,0.131,2.433,2.029,2.746,1.290,1.745,1.993,1.863,0.706,,
237.5,15.670,2.331,1.513,0.131,2.433,1.981,2.681,1.286,1.740,1.952,1.859,0.735,,
238,15.690,2.512,1.820,0.131,2.433,2.135,2.888,1.547,2.093,2.083,2.126,0.817,,
238.5,15.700,2.409,1.914,0.131,2.433,2.047,2.770,1.627,2.201,2.009,2.207,0.898,,
239,15.720,2.455,1.772,0.131,2.433,2.087,2.823,1.506,2.037,2.042,2.084,0.819,,
239.5,15.730,2.583,1.906,0.131,2.433,2.196,2.970,1.620,2.192,2.134,2.200,0.826,,
240,15.750,2.626,1.942,0.131,2.433,2.232,3.020,1.651,2.234,2.165,2.232,0.825,,
240.5,15.770,2.476,1.790,0.131,2.433,2.105,2.848,1.521,2.058,2.058,2.100,0.821,,
241,15.783,2.544,1.773,0.131,2.433,2.162,2.925,1.507,2.040,2.106,2.085,0.785,,
241.5,15.800,2.655,1.816,0.131,2.433,2.256,3.053,1.543,2.088,2.186,2.122,0.751,,
242,15.820,2.462,1.617,0.131,2.433,2.093,2.831,1.375,1.860,2.047,1.950,0.728,,
242.5,15.830,2.658,1.892,0.131,2.433,2.259,3.057,1.608,2.176,2.188,2.188,0.787,,
243,15.850,2.626,1.747,0.131,2.433,2.232,3.020,1.485,2.009,2.165,2.062,0.735,,
243.5,15.870,2.701,1.806,0.131,2.433,2.296,3.106,1.535,2.077,2.219,2.113,0.728,,
244,15.890,2.544,1.750,0.131,2.433,2.162,2.925,1.487,2.012,2.106,2.065,0.769,,
244.5,15.900,2.335,1.537,0.131,2.433,1.984,2.685,1.306,1.767,1.955,1.880,0.743,,
245,15.930,2.562,1.696,0.131,2.433,2.177,2.946,1.442,1.951,2.119,2.018,0.735,,
245.5,15.940,2.824,1.901,0.131,2.433,2.400,3.247,1.616,2.187,2.306,2.197,0.736,,
246,15.960,2.537,1.919,0.131,2.433,2.156,2.917,1.631,2.207,2.101,2.212,0.850,,
246.5,15.980,2.395,1.769,0.131,2.433,2.035,2.754,1.504,2.035,1.999,2.082,0.846,,
247,15.993,2.547,1.663,0.131,2.433,2.165,2.929,1.414,1.913,2.109,1.989,0.716,,
247.5,16.010,2.522,1.710,0.131,2.433,2.144,2.901,1.453,1.966,2.091,2.030,0.755,,
248,16.030,2.658,1.892,0.131,2.433,2.259,3.057,1.608,2.176,2.188,2.188,0.793,,
248.5,16.045,2.655,1.914,0.131,2.433,2.256,3.053,1.627,2.202,2.186,2.208,0.804,,
249,16.060,2.441,1.689,0.131,2.433,2.075,2.807,1.435,1.942,2.032,2.012,0.786,,
249.5,16.080,2.107,1.391,0.131,2.433,1.791,2.423,1.182,1.600,1.788,1.753,0.763,,
250,16.090,2.072,1.287,0.131,2.433,1.761,2.383,1.094,1.480,1.763,1.663,0.726,,
250.5,16.110,2.465,1.781,0.131,2.433,2.096,2.835,1.514,2.048,2.050,2.092,0.813,,
251,16.130,2.683,2.046,0.131,2.433,2.281,3.086,1.739,2.353,2.206,2.322,0.849,,
251.5,16.150,2.363,2.017,0.131,2.433,2.008,2.717,1.715,2.320,1.975,2.297,0.958,,
252,16.170,2.345,1.702,0.131,2.433,1.993,2.697,1.447,1.957,1.963,2.023,0.832,,
252.5,16.190,2.166,1.482,0.131,2.433,1.841,2.491,1.259,1.704,1.832,1.832,0.788,,
253,16.200,2.299,1.572,0.131,2.433,1.954,2.644,1.336,1.808,1.929,1.910,0.776,,
