%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,    TC.log,      RHOC.log,       RHP,,
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),    W/(mK),   kJ/(m³K),     µW/m³,,
28.5,10.250,5.105,1.836,0.225,2.279,4.339,5.870,1.561,2.111,3.158,2.357,0.163,,
29,10.260,5.182,1.895,0.225,2.279,4.404,5.959,1.610,2.179,3.195,2.402,0.175,,
29.5,10.270,5.043,1.785,0.225,2.279,4.286,5.799,1.517,2.053,3.128,2.317,0.161,,
30,10.290,5.120,1.866,0.225,2.279,4.352,5.887,1.586,2.146,3.165,2.380,0.176,,
30.5,10.300,5.107,1.860,0.225,2.279,4.341,5.873,1.581,2.139,3.159,2.375,0.172,,
31,10.310,5.082,1.848,0.225,2.279,4.320,5.844,1.571,2.126,3.147,2.366,0.177,,
31.5,10.320,5.047,1.765,0.225,2.279,4.290,5.804,1.500,2.030,3.130,2.302,0.145,,
32,10.330,5.246,1.972,0.225,2.279,4.459,6.033,1.676,2.268,3.226,2.462,0.188,,
32.5,10.350,5.228,1.825,0.225,2.279,4.444,6.012,1.551,2.099,3.217,2.348,0.139,,
33,10.360,5.115,1.818,0.225,2.279,4.348,5.883,1.546,2.091,3.163,2.343,0.161,,
33.5,10.370,5.416,2.003,0.225,2.279,4.603,6.228,1.702,2.303,3.306,2.486,0.170,,
34,10.380,5.172,1.694,0.225,2.279,4.396,5.948,1.440,1.948,3.190,2.247,0.102,,
34.5,10.390,4.807,1.907,0.225,2.279,4.086,5.528,1.621,2.193,3.014,2.411,0.242,,
35,10.400,4.819,1.963,0.225,2.279,4.096,5.541,1.669,2.258,3.020,2.455,0.258,,
35.5,10.410,4.860,1.984,0.225,2.279,4.131,5.589,1.687,2.282,3.040,2.471,0.253,,
36,10.420,5.051,1.928,0.225,2.279,4.293,5.809,1.639,2.217,3.132,2.428,0.207,,
36.5,10.430,4.844,1.782,0.225,2.279,4.117,5.571,1.515,2.049,3.032,2.315,0.190,,
37,10.440,4.754,1.905,0.225,2.279,4.041,5.467,1.619,2.191,2.989,2.410,0.251,,
37.5,10.453,5.045,1.950,0.225,2.279,4.288,5.801,1.657,2.242,3.129,2.445,0.212,,
38,10.460,5.052,1.905,0.225,2.279,4.294,5.810,1.619,2.190,3.133,2.410,0.196,,
38.5,10.470,4.868,1.817,0.225,2.279,4.138,5.598,1.544,2.089,3.044,2.342,0.198,,
39,10.560,4.961,1.958,0.225,2.279,4.216,5.705,1.664,2.252,3.089,2.451,0.231,,
39.5,10.560,5.175,1.988,0.225,2.279,4.399,5.952,1.690,2.286,3.192,2.474,0.209,,
40,10.570,5.161,1.839,0.225,2.279,4.387,5.936,1.564,2.115,3.185,2.359,0.158,,
40.5,10.580,5.136,1.897,0.225,2.279,4.365,5.906,1.612,2.181,3.173,2.404,0.185,,
41,10.590,5.028,1.823,0.225,2.279,4.273,5.782,1.550,2.096,3.121,2.347,0.170,,
41.5,10.600,5.023,1.891,0.225,2.279,4.270,5.777,1.607,2.174,3.119,2.399,0.198,,
42,10.600,4.956,1.859,0.225,2.279,4.213,5.700,1.580,2.138,3.087,2.374,0.196,,
42.5,10.610,5.137,1.994,0.225,2.279,4.366,5.907,1.695,2.293,3.173,2.479,0.211,,
43,10.620,5.126,1.846,0.225,2.279,4.357,5.895,1.569,2.123,3.168,2.364,0.169,,
43.5,10.630,4.979,1.918,0.225,2.279,4.232,5.725,1.630,2.205,3.097,2.420,0.212,,
44,10.640,4.903,1.857,0.225,2.279,4.168,5.639,1.578,2.135,3.061,2.373,0.208,,
44.5,10.640,4.870,1.913,0.225,2.279,4.140,5.601,1.626,2.201,3.045,2.417,0.233,,
45,10.650,4.871,1.964,0.225,2.279,4.141,5.602,1.670,2.259,3.046,2.456,0.245,,
45.5,10.660,4.865,1.936,0.225,2.279,4.135,5.595,1.645,2.226,3.042,2.434,0.238,,
46,10.670,4.738,1.897,0.225,2.279,4.028,5.449,1.612,2.182,2.981,2.404,0.247,,
46.5,10.680,4.942,1.876,0.225,2.279,4.201,5.684,1.594,2.157,3.080,2.388,0.204,,
47,10.680,5.428,2.108,0.225,2.279,4.614,6.242,1.792,2.424,3.312,2.567,0.211,,
47.5,10.690,5.190,1.702,0.225,2.279,4.412,5.969,1.447,1.957,3.199,2.253,0.098,,
48,10.700,5.153,1.791,0.225,2.279,4.380,5.926,1.522,2.060,3.181,2.322,0.142,,
48.5,10.700,4.925,1.775,0.225,2.279,4.187,5.664,1.509,2.042,3.072,2.310,0.170,,
49,10.710,4.788,1.873,0.225,2.279,4.070,5.506,1.592,2.153,3.005,2.385,0.231,,
49.5,10.720,4.986,1.946,0.225,2.279,4.238,5.734,1.654,2.238,3.101,2.442,0.225,,
50,10.720,4.981,1.894,0.225,2.279,4.234,5.728,1.610,2.178,3.098,2.402,0.204,,
50.5,10.730,4.958,1.908,0.225,2.279,4.215,5.702,1.622,2.194,3.088,2.412,0.211,,
51,10.737,4.998,1.977,0.225,2.279,4.248,5.747,1.680,2.273,3.107,2.466,0.235,,
51.5,10.740,5.034,1.920,0.225,2.279,4.279,5.789,1.632,2.208,3.124,2.422,0.204,,
52,10.750,4.879,1.822,0.225,2.279,4.147,5.611,1.548,2.095,3.049,2.346,0.202,,
52.5,10.750,4.924,1.965,0.225,2.279,4.186,5.663,1.671,2.260,3.071,2.457,0.236,,
53,10.760,4.884,1.896,0.225,2.279,4.152,5.617,1.611,2.180,3.052,2.403,0.226,,
53.5,10.770,5.002,1.979,0.225,2.279,4.252,5.752,1.682,2.275,3.109,2.467,0.233,,
54,10.770,5.024,1.990,0.225,2.279,4.271,5.778,1.691,2.288,3.119,2.476,0.230,,
54.5,10.780,4.843,1.804,0.225,2.279,4.116,5.569,1.534,2.075,3.032,2.332,0.199,,
55,10.780,4.730,1.918,0.225,2.279,4.021,5.440,1.630,2.206,2.977,2.420,0.252,,
55.5,10.790,4.473,1.912,0.225,2.279,3.802,5.144,1.625,2.199,2.851,2.416,0.298,,
56,10.790,3.920,1.787,0.225,2.279,3.332,4.508,1.519,2.055,2.574,2.319,0.358,,
56.5,10.800,3.984,2.411,0.225,2.279,3.386,4.581,2.049,2.772,2.606,2.802,0.505,,
57,10.810,4.842,2.082,0.225,2.279,4.116,5.568,1.770,2.394,3.031,2.547,0.285,,
57.5,10.810,4.757,1.932,0.225,2.279,4.044,5.471,1.642,2.222,2.990,2.431,0.253,,
58,10.820,4.411,1.879,0.225,2.279,3.749,5.072,1.597,2.160,2.820,2.390,0.297,,
58.5,10.820,3.729,2.461,0.189,2.338,3.170,4.289,2.092,2.830,2.642,2.781,0.482,,
59,10.830,3.895,2.668,0.154,2.396,3.311,4.479,2.267,3.068,2.924,2.896,0.436,,
59.5,10.838,3.827,2.207,0.154,2.396,3.253,4.401,1.876,2.538,2.881,2.506,0.318,,
60,10.840,3.616,2.307,0.154,2.396,3.073,4.158,1.961,2.653,2.746,2.591,0.398,,
60.5,10.850,3.165,2.205,0.154,2.396,2.690,3.640,1.874,2.535,2.454,2.504,0.460,,
61,10.860,3.626,2.670,0.154,2.396,3.082,4.170,2.269,3.070,2.753,2.898,0.486,,
61.5,10.860,3.853,2.173,0.154,2.396,3.275,4.431,1.847,2.499,2.898,2.477,0.309,,
62,10.870,3.434,2.070,0.154,2.396,2.919,3.949,1.759,2.380,2.628,2.390,0.362,,
62.5,10.880,3.630,2.438,0.154,2.396,3.085,4.174,2.072,2.804,2.755,2.701,0.429,,
63,10.890,3.576,2.308,0.154,2.396,3.040,4.113,1.962,2.654,2.721,2.591,0.402,,
63.5,10.890,3.589,2.471,0.154,2.396,3.051,4.128,2.100,2.842,2.729,2.729,0.445,,
64,10.900,3.775,2.303,0.154,2.396,3.208,4.341,1.958,2.649,2.847,2.588,0.367,,
64.5,10.910,4.597,2.099,0.240,2.254,3.907,5.287,1.784,2.414,2.824,2.591,0.369,,
65,10.920,4.674,2.207,0.240,2.254,3.973,5.375,1.876,2.538,2.860,2.673,0.385,,
65.5,10.930,4.389,2.140,0.240,2.254,3.731,5.048,1.819,2.461,2.727,2.622,0.415,,
66,10.930,4.509,2.112,0.240,2.254,3.833,5.186,1.795,2.429,2.783,2.601,0.389,,
66.5,10.940,4.502,2.275,0.240,2.254,3.826,5.177,1.934,2.617,2.780,2.725,0.425,,
67,10.947,4.712,2.011,0.240,2.254,4.005,5.418,1.709,2.313,2.878,2.524,0.334,,
67.5,10.950,4.330,2.276,0.240,2.254,3.680,4.979,1.935,2.618,2.699,2.726,0.452,,
68,10.960,3.714,2.452,0.240,2.254,3.157,4.271,2.084,2.819,2.402,2.859,0.578,,
68.5,10.970,3.643,2.582,0.240,2.254,3.097,4.190,2.195,2.970,2.367,2.959,0.608,,
69,10.980,4.386,2.041,0.240,2.254,3.728,5.044,1.735,2.347,2.725,2.547,0.391,,
69.5,10.990,5.064,2.023,0.240,2.254,4.304,5.824,1.719,2.326,3.040,2.533,0.283,,
70,11.000,5.154,1.857,0.240,2.254,4.381,5.927,1.578,2.135,3.081,2.407,0.216,,
70.5,11.000,5.018,1.945,0.240,2.254,4.265,5.771,1.654,2.237,3.019,2.474,0.264,,
71,11.010,4.658,1.925,0.240,2.254,3.959,5.356,1.636,2.214,2.853,2.459,0.315,,
71.5,11.020,4.776,1.988,0.240,2.254,4.060,5.492,1.689,2.286,2.908,2.507,0.312,,
72,11.020,5.031,1.926,0.240,2.254,4.277,5.786,1.637,2.214,3.025,2.459,0.253,,
72.5,11.030,5.139,2.005,0.240,2.254,4.369,5.910,1.704,2.306,3.074,2.520,0.268,,
73,11.030,4.957,1.942,0.240,2.254,4.214,5.701,1.651,2.233,2.991,2.472,0.270,,
