55.5 1.94  
60.55 1.81 
61.95 2.01 
63.3 1.64  
65.8 2.02  
73.2 2.13  
74.8 2.04  
83.1 1.91  
84.8 5.46  
94.2 1.8   
100 4.67   
101 1.89   
105 1.8   
115.8 1.5  
125.3 1.91 
126.15 1.85
127.9 3.02 
129.2 2.99 
130.1 2.95 
130.9 2.62 
133.7 2.48 
142.2 2.18 
143.5 2.52 
145.3 3   
146.3 1.7  
147.1 2.58 
149.75 2.43       
150.85 2.6       
151.7 2.63       
154.9 2.35       
156.95 1.67       
158 2.33       
158.85 2.43       
159.8 2.5       
161.8 2.58       
163.7 2       
164.7 2.57       
172 2.98       
185.9 4.32       
187 2.91       
189.7 2.72       
190.7 1.81       
192.5 2.15       
193.45 2.56       
194.35 2.24       
195.85 1.89       
196.4 2.15       
200.4 2.8       
201.45 2.83       
202.85 2.73       
205.2 2.7       
206.4 2.74       
207.3 2.68       
208.85 2.08       
209.8 2.53       
216.8 2.48       
226.55 2.41       
227.45 2.52       
228.3 2.58       
232.4 1.99       
233.8 1.92       
234.7 1.73       
236.05 1.64       
236.8 2.58       
238.7 2.69       
239.85 2.36       
242.15 2.06       
243.3 2.03       
244.35 1.96       
246.05 2.71       
246.95 2.93       
262 2.88       
263.8 2.67       
264.05 2.36       
264.95 1.93       
267.25 2.4       
268.15 2.47       
269.25 2.19       
270.25 2.88       
271.15 2.32       
272.05 2.96       
274.6 1.72       
275.3 2.48       
276.3 2.63       
277.35 2.28       
278.15 2.44       
278.7 2.27       
279.8 2.14       
280.66 3.41       
281.55 2.14       
283.3 2.82       
285.4 3.03       
286.25 3.32       
287.6 3.06       
295.75 2.5       
296.95 2.35       
297.85 2.16       
299.15 2.36       
300 2.71       
300.85 2.56       
301.6 2.77       
302.4 1.91       
303.7 2.29       
305.75 2.31       
307.5 2.63       
309.15 2.48       
310.4 2.45       
311.9 1.9       
312.75 2.68       
315.95 2.62       
316.85 2.35       
318 1.73       
318.95 2.48       
319.85 2.78       
320.55 2.55       
321.65 2.41       
324 2.57       
325.1 3.06       
327 2.66       
327.8 2.9       
329.9 2.92       
330.85 1.6       
331.85 1.81       
332.9 3.14       
333.7 1.9       
334.45 1.63       
335.35 2.32       
338.15 3.24       
339.2 3.18       
340.35 2.52       
341.25 1.97       
342.3 1.62       
343.1 2.39       
344.3 2.35       
345.05 1.69       
345.8 2       
346.7 2.84       
347.55 1.68       
348.7 2.77       
349.55 2       
350.5 2.39       
351.8 2.45       
352.65 2.91       
353.55 1.89       
354.55 1.46       
355.25 3.59       
356.25 2.96       
357.25 2.68       
358.25 2.35       
359.4 2.6       
360.15 2.24       
360.9 1.52       
361.05 2.89       
361.8 3       
362.85 1.72       
363.7 1.65       
365.65 2.17       
366.75 2.21       
367.55 1.91       
368.3 2.12       
369.55 3.1       
370.35 2.59       
371.2 2.24       
372.2 2.11       
373.4 2.74       
374.35 2.59       
375.5 3.35       
377.6 2.73       
381 2.55       
384.3 2.28       
389.7 3.22       
390.65 3.28       
391.6 3.06       
402.8 2.1       
403.7 2.52       
404.7 2.21       
405.3 1.79       
406.5 2.43       
407.65 2.77       
409.45 2.51       
411.4 2.49       
413.55 3.59       
414.5 1.4       
415.5 2.26       
416.3 2.61       
417.45 2.23       
418.15 2.78       
419.25 2.56       
420 1.53       
420.75 2.17       
424.7 2.46       
425.8 2.14       
426.4 2.71       
427.6 2.12       
428.05 2.98       
429.5 2.62       
430.45 2.2       
431.4 2.36       
432.3 2.6       
433.7 2.19       
434.25 2.12       
436.5 2.41       
437.45 2.05       
438.2 2.52       
439.15 2.2       
440.15 2.44       
441.15 2.26       
442 2.01       
442.9 2.15       
443.85 2.14       
444.75 2.22       
445.6 2.56       
446.65 2.53       
447.65 2.42       
449.65 1.56       
450.45 1.68       
451.65 2.1       
452.6 3.25       
453.8 2.4       
454.7 2.41       
455.45 1.79       
456.5 2.57       
457.35 2.22       
458.3 1.92       
459.55 2.22       
460.35 2.34       
460.95 2.55       
461.95 2.11       
462.8 2.57       
463.6 1.21       
464.8 2.72       
465.55 1.84       
466.45 1.71       
467.4 3.81       
468.35 2.75       
469.1 2.44       
470.3 1.55       
471.2 2.67       
472.3 1.5       
473.25 2.31       
475.2 2.35       
476.7 2.41       
477.75 3.27       
479.1 2.55       
485.1 2.75       
496.3 3       
497.5 2.77       
498.35 2.75       
499.85 2.44       
500.9 2.95       
501.7 2.62       
502.85 3.14       
503.7 2.36       
504.5 2.52       
506 2.52       
508.5 2.94       
510.4 2.1       
511.5 2.69       
512.15 2.52       
513.35 2.34       
514.6 1.68       
515.35 1.79       
516.25 3.24       
517.35 2.75       
518.65 1.97       
519.15 1.91       
520.6 2.51       
522.05 2.21       
522.65 2.35       
523.95 1.73       
524.6 2.8       
525.45 2.37       
527 2.07       
529.4 3.01       
531.25 2.19       
533.4 1.98       
535.4 2.84       
536.5 1.78       
537.6 3.37       
537.9 2.42       
539 2.8       
540.35 2.37       
541.4 2.87       
542.4 2.85       
543.15 2.69       
543.9 2.82       
545.9 2.86       
546.6 2.73       
548.3 2.43       
549.25 2.72       
550.14 2.55       
550.8 2.57       
551.8 3.09       
552.9 2.86       
554.5 3.02       
556 2.14       
556.8 2.55       
557.5 3.49       
558.5 1.65       
560 2.84       
565 2.74       
565.65 2.88       
566.7 2.6       
567.5 2.53       
568.4 1.84       
569.3 1.79       
570.2 2.11       
571.2 3.07       
572.3 1.87       
573.1 2.4       
574.1 2.72       
575.2 2.47       
576.35 1.43       
577.1 2.99       
579 1.82       
580 2.45       
581 2.2       
581.6 2.21       
582.3 1.51       
583.5 2.16       
584.4 4.23       
585.7 2.67       
586.6 2.45       
587.65 2.23       
588.5 2.56       
589.45 2.67       
590.2 1.97       
591.2 2.59       
592.2 4.12       
592.7 2.69       
593.6 2.49       
594.6 2.53       
595.8 1.78       
596.8 2.66       
598 1.35       
599 1.6       
599.6 2.5       
600.7 2.96       
601.6 1.66       
602.7 2.08       
603.5 2.81       
604.3 2.43       
604.7 2.28       
605.9 2.77       
606.9 3.21       
607.5 3.07       
611 2.78       
612.3 1.76       
613.4 2.47       
614.5 2.79       
615.5 3.88       
617.1 2.84       
618 2.01       
619 1.46       
619.8 1.65       
620.8 1.58       
621.7 3.17       
622.7 2.7       
623.45 2.41       
624.5 2.36       
625.55 3.03       
626.55 2.26       
