% DEPTH	TEMP
2.82	-21.8
2.81	-21.85
2.82	-21.9
2.82	-21.95
2.83	-22
2.81	-22.05
2.8	-22.1
2.81	-22.15
2.81	-22.2
2.8	-22.25
2.81	-22.3
2.82	-22.35
2.82	-22.4
2.83	-22.45
2.84	-22.5
2.85	-22.55
2.85	-22.6
2.87	-22.65
2.87	-22.7
2.87	-22.75
2.87	-22.8
2.86	-22.85
2.86	-22.9
2.86	-22.95
2.86	-23
2.87	-23.05
2.88	-23.1
2.89	-23.15
2.88	-23.2
2.88	-23.25
2.88	-23.3
2.88	-23.35
2.88	-23.4
2.89	-23.45
2.88	-23.5
2.87	-23.55
2.87	-23.6
2.88	-23.65
2.88	-23.7
2.89	-23.75
2.91	-23.8
2.92	-23.85
2.9	-23.9
2.9	-23.95
2.91	-24
2.92	-24.05
2.92	-24.1
2.92	-24.15
2.92	-24.2
2.93	-24.25
2.92	-24.3
2.92	-24.35
2.93	-24.4
2.93	-24.45
2.93	-24.5
2.93	-24.55
2.93	-24.6
2.95	-24.65
2.95	-24.7
2.95	-24.75
2.95	-24.8
2.94	-24.85
2.93	-24.9
2.94	-24.95
2.96	-25
2.96	-25.05
2.96	-25.1
2.97	-25.15
2.97	-25.2
2.98	-25.25
2.97	-25.3
2.97	-25.35
2.97	-25.4
2.99	-25.45
2.99	-25.5
2.98	-25.55
2.98	-25.6
2.99	-25.65
2.99	-25.7
3.01	-25.75
3.01	-25.8
3	-25.85
3	-25.9
3	-25.95
3.01	-26
3.01	-26.05
3.02	-26.1
3.03	-26.15
3.02	-26.2
3.01	-26.25
3.02	-26.3
3.06	-26.35
3.06	-26.4
3.04	-26.45
3.04	-26.5
3.05	-26.55
3.05	-26.6
3.06	-26.65
3.06	-26.7
3.07	-26.75
3.08	-26.8
3.08	-26.85
3.1	-26.9
3.09	-26.95
3.07	-27
3.07	-27.05
3.08	-27.1
3.08	-27.15
3.08	-27.2
3.08	-27.25
3.07	-27.3
3.09	-27.35
3.09	-27.4
3.1	-27.45
3.13	-27.5
3.14	-27.55
3.12	-27.6
3.11	-27.65
3.12	-27.7
3.13	-27.75
3.13	-27.8
3.14	-27.85
3.15	-27.9
3.14	-27.95
3.13	-28
3.14	-28.05
3.15	-28.1
3.15	-28.15
3.14	-28.2
3.15	-28.25
3.16	-28.3
3.16	-28.35
3.16	-28.4
3.15	-28.45
3.15	-28.5
3.16	-28.55
3.15	-28.6
3.14	-28.65
3.16	-28.7
3.15	-28.75
3.16	-28.8
3.16	-28.85
3.15	-28.9
3.16	-28.95
3.18	-29
3.18	-29.05
3.19	-29.1
3.2	-29.15
3.2	-29.2
3.19	-29.25
3.18	-29.3
3.2	-29.35
3.22	-29.4
3.23	-29.45
3.22	-29.5
3.21	-29.55
3.2	-29.6
3.22	-29.65
3.23	-29.7
3.23	-29.75
3.22	-29.8
3.22	-29.85
3.23	-29.9
