%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
407.5,20.22,2.199,2.044,0.12,2.452,1.869,2.529,1.737,2.351,1.883,2.297,0.702
408,20.22,2.35,2.049,0.12,2.452,1.997,2.702,1.742,2.356,1.996,2.301,0.671
408.5,20.24,2.438,2.052,0.12,2.452,2.072,2.804,1.744,2.359,2.062,2.303,0.652
409,20.24,2.484,2.053,0.12,2.452,2.112,2.857,1.745,2.361,2.097,2.305,0.642
409.5,20.28,2.531,2.054,0.12,2.452,2.151,2.91,1.746,2.362,2.131,2.306,0.632
410,20.28,2.51,2.054,0.12,2.452,2.134,2.887,1.746,2.362,2.116,2.305,0.637
410.5,20.3,2.407,2.051,0.12,2.452,2.046,2.768,1.743,2.358,2.039,2.303,0.658
411,20.3,2.305,2.048,0.12,2.452,1.959,2.651,1.74,2.355,1.963,2.3,0.68
411.5,20.33,2.203,2.044,0.12,2.452,1.873,2.533,1.738,2.351,1.886,2.297,0.702
412,20.33,2.097,2.04,0.12,2.452,1.783,2.412,1.734,2.346,1.806,2.293,0.724
412.5,20.36,1.993,2.036,0.12,2.452,1.694,2.291,1.731,2.341,1.727,2.29,0.747
413,20.36,1.888,2.031,0.12,2.452,1.605,2.172,1.727,2.336,1.647,2.286,0.769
413.5,20.39,1.785,2.026,0.12,2.452,1.517,2.053,1.722,2.33,1.567,2.281,0.792
414,20.39,1.843,2.029,0.12,2.452,1.567,2.12,1.725,2.334,1.612,2.284,0.779
414.5,20.42,1.96,2.035,0.12,2.452,1.666,2.254,1.729,2.34,1.702,2.289,0.754
415,20.42,2.079,2.04,0.12,2.452,1.767,2.391,1.734,2.345,1.792,2.293,0.728
415.5,20.44,1.949,2.034,0.12,2.452,1.656,2.241,1.729,2.339,1.693,2.288,0.756
416,20.44,1.826,2.029,0.12,2.452,1.552,2.099,1.724,2.333,1.599,2.283,0.783
416.5,20.48,1.914,2.033,0.12,2.452,1.627,2.201,1.728,2.338,1.667,2.287,0.764
417,20.48,2.003,2.037,0.12,2.452,1.703,2.304,1.731,2.342,1.735,2.29,0.744
417.5,20.51,2.093,2.04,0.12,2.452,1.779,2.407,1.734,2.346,1.803,2.293,0.725
418,20.51,2.183,2.043,0.12,2.452,1.855,2.51,1.737,2.35,1.871,2.296,0.706
418.5,20.53,2.22,2.045,0.12,2.452,1.887,2.553,1.738,2.351,1.899,2.297,0.698
419,20.53,2.047,2.038,0.12,2.452,1.74,2.354,1.733,2.344,1.768,2.292,0.735
419.5,20.57,1.875,2.031,0.12,2.452,1.594,2.156,1.726,2.335,1.637,2.285,0.772
420,20.57,1.705,2.022,0.12,2.452,1.449,1.961,1.719,2.326,1.506,2.278,0.809
420.5,20.59,1.611,2.017,0.12,2.452,1.369,1.852,1.714,2.319,1.432,2.273,0.83
421,20.59,1.56,2.013,0.12,2.452,1.326,1.793,1.711,2.315,1.392,2.27,0.841
421.5,20.63,1.399,2.002,0.12,2.452,1.189,1.609,1.702,2.302,1.265,2.26,0.877
422,20.63,1.217,1.972,0.12,2.452,1.034,1.399,1.676,2.268,1.119,2.233,0.946
422.5,20.66,1.217,1.981,0.12,2.452,1.034,1.399,1.684,2.279,1.119,2.242,0.928
423,20.66,1.424,2.004,0.12,2.452,1.211,1.638,1.703,2.304,1.285,2.261,0.872
423.5,20.69,1.303,1.994,0.12,2.452,1.108,1.499,1.695,2.293,1.188,2.253,0.899
424,20.69,1.217,1.985,0.12,2.452,1.034,1.399,1.688,2.283,1.119,2.245,0.919
424.5,20.72,1.364,1.999,0.12,2.452,1.16,1.569,1.699,2.299,1.237,2.257,0.885
425,20.72,1.514,2.01,0.12,2.452,1.287,1.741,1.709,2.312,1.356,2.267,0.852
425.5,20.77,1.659,2.02,0.12,2.452,1.41,1.908,1.717,2.323,1.469,2.275,0.819
426,20.77,1.797,2.027,0.12,2.452,1.528,2.067,1.723,2.331,1.577,2.282,0.789
426.5,20.8,1.937,2.034,0.12,2.452,1.647,2.228,1.729,2.339,1.684,2.288,0.759
427,20.8,2.048,2.038,0.12,2.452,1.74,2.355,1.733,2.344,1.769,2.292,0.735
427.5,20.85,2.143,2.042,0.12,2.452,1.822,2.465,1.736,2.348,1.841,2.295,0.714
428,20.85,2.227,2.045,0.12,2.452,1.893,2.561,1.738,2.352,1.904,2.298,0.697
428.5,20.88,2.04,2.038,0.12,2.452,1.734,2.346,1.732,2.344,1.763,2.291,0.736
429,20.88,1.856,2.03,0.12,2.452,1.578,2.134,1.725,2.334,1.622,2.284,0.776
429.5,20.92,1.674,2.02,0.12,2.452,1.422,1.925,1.717,2.323,1.481,2.276,0.816
430,20.92,1.616,2.017,0.12,2.452,1.373,1.858,1.714,2.32,1.436,2.273,0.829
430.5,20.96,1.854,2.03,0.12,2.452,1.576,2.132,1.725,2.334,1.62,2.284,0.777
431,20.96,2.095,2.04,0.12,2.452,1.781,2.41,1.734,2.346,1.805,2.293,0.725
431.5,21,2.228,2.045,0.12,2.452,1.894,2.562,1.738,2.352,1.905,2.298,0.696
432,21,2.077,2.039,0.12,2.452,1.765,2.388,1.734,2.345,1.791,2.293,0.729
432.5,21.03,1.927,2.033,0.12,2.452,1.638,2.216,1.728,2.338,1.676,2.287,0.761
433,21.03,1.94,2.034,0.12,2.452,1.649,2.231,1.729,2.339,1.686,2.288,0.758
433.5,21.08,1.996,2.036,0.12,2.452,1.697,2.295,1.731,2.342,1.729,2.29,0.746
434,21.08,2.053,2.039,0.12,2.452,1.745,2.361,1.733,2.344,1.772,2.292,0.734
434.5,21.11,2.109,2.041,0.12,2.452,1.793,2.426,1.735,2.347,1.815,2.294,0.722
435,21.11,2.286,2.047,0.12,2.452,1.943,2.629,1.74,2.354,1.949,2.299,0.684
435.5,21.15,2.485,2.053,0.12,2.452,2.113,2.858,1.745,2.361,2.097,2.305,0.642
436,21.15,2.537,2.054,0.12,2.452,2.157,2.918,1.746,2.363,2.136,2.306,0.631
436.5,21.19,2.398,2.05,0.12,2.452,2.038,2.757,1.743,2.358,2.032,2.302,0.66
437,21.19,2.26,2.046,0.12,2.452,1.921,2.599,1.739,2.353,1.929,2.299,0.69
437.5,21.22,2.122,2.041,0.12,2.452,1.804,2.441,1.735,2.347,1.825,2.294,0.719
438,21.22,2.051,2.038,0.12,2.452,1.743,2.359,1.733,2.344,1.771,2.292,0.734
438.5,21.27,2.063,2.039,0.12,2.452,1.754,2.372,1.733,2.345,1.78,2.292,0.732
439,21.27,2.075,2.039,0.12,2.452,1.764,2.387,1.734,2.345,1.79,2.293,0.729
439.5,21.3,2.132,2.042,0.12,2.452,1.813,2.452,1.735,2.348,1.833,2.295,0.717
440,21.3,2.175,2.043,0.12,2.452,1.849,2.501,1.737,2.35,1.865,2.296,0.708
440.5,21.34,2.104,2.041,0.12,2.452,1.789,2.42,1.734,2.347,1.812,2.294,0.723
441,21.34,2.034,2.038,0.12,2.452,1.729,2.339,1.732,2.343,1.758,2.291,0.738
441.5,21.38,1.964,2.035,0.12,2.452,1.669,2.258,1.73,2.34,1.705,2.289,0.753
442,21.38,1.946,2.034,0.12,2.452,1.654,2.238,1.729,2.339,1.691,2.288,0.757
442.5,21.42,2.083,2.04,0.12,2.452,1.77,2.395,1.734,2.346,1.795,2.293,0.727
443,21.42,2.182,2.043,0.12,2.452,1.855,2.51,1.737,2.35,1.871,2.296,0.706
443.5,21.46,2.096,2.04,0.12,2.452,1.782,2.411,1.734,2.346,1.806,2.293,0.724
444,21.46,2.011,2.037,0.12,2.452,1.709,2.312,1.731,2.342,1.74,2.29,0.743
444.5,21.49,1.843,2.029,0.12,2.452,1.567,2.12,1.725,2.334,1.612,2.284,0.779
445,21.49,1.435,2.005,0.12,2.452,1.22,1.651,1.704,2.305,1.294,2.262,0.869
445.5,21.53,1.618,2.017,0.12,2.452,1.375,1.86,1.715,2.32,1.437,2.273,0.829
446,21.53,1.82,2.028,0.12,2.452,1.547,2.093,1.724,2.332,1.594,2.283,0.784
446.5,21.58,1.868,2.031,0.12,2.452,1.587,2.148,1.726,2.335,1.631,2.285,0.774
447,21.58,1.861,2.03,0.12,2.452,1.582,2.14,1.726,2.335,1.626,2.285,0.775
447.5,21.61,1.926,2.033,0.12,2.452,1.637,2.215,1.728,2.338,1.676,2.287,0.761
448,21.61,1.991,2.036,0.12,2.452,1.692,2.29,1.731,2.341,1.725,2.29,0.747
448.5,21.65,2.056,2.039,0.12,2.452,1.748,2.364,1.733,2.344,1.775,2.292,0.733
449,21.65,2.122,2.041,0.12,2.452,1.803,2.44,1.735,2.347,1.825,2.294,0.719
449.5,21.69,2.026,2.037,0.12,2.452,1.722,2.33,1.732,2.343,1.752,2.291,0.739
450,21.69,1.859,2.03,0.12,2.452,1.58,2.138,1.726,2.335,1.625,2.285,0.776
450.5,21.73,1.705,2.022,0.12,2.452,1.449,1.961,1.719,2.326,1.506,2.278,0.809
451,21.73,1.6,2.016,0.12,2.452,1.36,1.84,1.714,2.318,1.423,2.272,0.833
451.5,21.77,1.495,2.009,0.12,2.452,1.271,1.719,1.708,2.31,1.341,2.266,0.856
452,21.77,1.391,2.001,0.12,2.452,1.182,1.6,1.701,2.301,1.258,2.259,0.879
452.5,21.82,1.261,1.99,0.12,2.452,1.072,1.45,1.691,2.288,1.154,2.249,0.909
453,21.82,1.261,1.975,0.12,2.452,1.072,1.45,1.679,2.272,1.154,2.236,0.94
453.5,21.87,1.261,1.957,0.12,2.452,1.072,1.45,1.664,2.251,1.154,2.22,0.972
454,21.87,1.778,0.985,0.4,1.99,1.511,2.044,0.838,1.133,1.154,2.251,1.039
454.5,21.9,1.778,0.985,0.4,1.99,1.511,2.044,0.838,1.133,1.154,2.251,1.112
455,21.9,1.261,1.415,0.12,2.452,1.072,1.45,1.203,1.627,1.154,1.743,1.184
455.5,21.94,1.261,1.691,0.12,2.452,1.072,1.45,1.438,1.945,1.154,1.986,1.141
456,21.94,1.261,1.863,0.12,2.452,1.072,1.45,1.583,2.142,1.154,2.137,1.07
456.5,21.98,1.261,1.938,0.12,2.452,1.072,1.45,1.648,2.229,1.154,2.204,0.999
457,21.98,1.261,1.95,0.12,2.452,1.072,1.45,1.658,2.243,1.154,2.214,0.983
457.5,22.01,1.261,1.949,0.12,2.452,1.072,1.45,1.657,2.242,1.154,2.214,0.984
458,22.01,1.261,1.972,0.12,2.452,1.072,1.45,1.676,2.267,1.154,2.233,0.947
458.5,22.06,1.261,1.916,0.12,2.452,1.072,1.45,1.628,2.203,1.154,2.184,1.026
459,22.06,1.68,1.446,0.3,2.155,1.428,1.932,1.229,1.663,1.236,2.257,0.885
459.5,22.1,2.867,1.497,0.3,2.155,2.437,3.298,1.273,1.722,1.797,2.293,0.727
460,22.1,4.401,1.527,0.3,2.155,3.741,5.061,1.298,1.756,2.426,2.314,0.549
460.5,22.13,5.523,1.54,0.3,2.155,4.694,6.351,1.309,1.771,2.843,2.323,0.431
461,22.13,5.409,1.539,0.3,2.155,4.598,6.22,1.308,1.77,2.802,2.322,0.443
461.5,22.16,5.295,1.538,0.3,2.155,4.501,6.089,1.307,1.768,2.761,2.321,0.454
462,22.16,5.183,1.537,0.3,2.155,4.405,5.96,1.306,1.767,2.72,2.321,0.466
462.5,22.19,5.07,1.535,0.3,2.155,4.31,5.831,1.305,1.766,2.678,2.32,0.478
463,22.19,3.224,2.069,0.12,2.452,2.74,3.708,1.759,2.38,2.637,2.319,0.489
463.5,22.22,3.167,2.068,0.12,2.452,2.692,3.642,1.758,2.378,2.596,2.318,0.501
464,22.22,3.11,2.067,0.12,2.452,2.643,3.576,1.757,2.377,2.555,2.317,0.513
464.5,22.24,3.053,2.066,0.12,2.452,2.595,3.511,1.756,2.376,2.513,2.316,0.524
465,22.24,5.001,1.535,0.3,2.155,4.251,5.751,1.304,1.765,2.653,2.319,0.485
465.5,22.26,5.544,1.54,0.3,2.155,4.713,6.376,1.309,1.771,2.851,2.323,0.429
466,22.26,3.634,2.076,0.12,2.452,3.089,4.179,1.764,2.387,2.93,2.325,0.407
466.5,22.28,3.523,2.074,0.12,2.452,2.995,4.052,1.763,2.385,2.851,2.323,0.429
467,22.28,3.413,2.072,0.12,2.452,2.901,3.925,1.762,2.383,2.773,2.322,0.451
467.5,22.3,3.424,2.073,0.12,2.452,2.91,3.938,1.762,2.383,2.781,2.322,0.449
468,22.3,3.684,2.076,0.12,2.452,3.131,4.236,1.765,2.388,2.965,2.325,0.397
468.5,22.32,3.946,2.08,0.12,2.452,3.354,4.538,1.768,2.392,3.15,2.328,0.344
469,22.32,6.708,1.55,0.3,2.155,5.702,7.715,1.317,1.782,3.258,2.33,0.314
469.5,22.35,6.861,1.551,0.3,2.155,5.832,7.89,1.318,1.783,3.31,2.33,0.299
470,22.35,7.015,1.552,0.3,2.155,5.963,8.067,1.319,1.784,3.362,2.331,0.285
470.5,22.37,7.169,1.553,0.3,2.155,6.094,8.245,1.32,1.785,3.413,2.332,0.27
471,22.37,6.991,1.551,0.3,2.155,5.942,8.04,1.319,1.784,3.353,2.331,0.287
471.5,22.39,6.78,1.55,0.3,2.155,5.763,7.797,1.318,1.783,3.282,2.33,0.307
472,22.39,6.571,1.549,0.3,2.155,5.586,7.557,1.316,1.781,3.211,2.329,0.327
472.5,22.41,6.364,1.547,0.3,2.155,5.41,7.319,1.315,1.779,3.14,2.328,0.347
473,22.41,6.16,1.546,0.3,2.155,5.236,7.083,1.314,1.777,3.069,2.327,0.367
473.5,22.42,5.957,1.544,0.3,2.155,5.064,6.851,1.312,1.775,2.998,2.326,0.387
474,22.42,6.078,1.545,0.3,2.155,5.166,6.99,1.313,1.777,3.041,2.326,0.375
474.5,22.44,6.284,1.547,0.3,2.155,5.342,7.227,1.315,1.778,3.112,2.328,0.355
475,22.44,6.526,1.548,0.3,2.155,5.547,7.505,1.316,1.781,3.196,2.329,0.332
475.5,22.46,6.801,1.55,0.3,2.155,5.781,7.821,1.318,1.783,3.289,2.33,0.305
476,22.46,6.26,1.546,0.3,2.155,5.321,7.198,1.314,1.778,3.104,2.327,0.358
476.5,22.48,5.527,1.54,0.3,2.155,4.698,6.356,1.309,1.771,2.845,2.323,0.431
477,22.48,3.187,2.069,0.12,2.452,2.709,3.665,1.758,2.379,2.61,2.318,0.497
477.5,22.5,2.884,2.063,0.12,2.452,2.452,3.317,1.753,2.372,2.391,2.313,0.559
478,22.5,2.586,2.056,0.12,2.452,2.198,2.973,1.747,2.364,2.172,2.307,0.621
478.5,22.51,2.308,2.048,0.12,2.452,1.962,2.654,1.74,2.355,1.965,2.3,0.679
479,22.51,2.053,2.039,0.12,2.452,1.745,2.361,1.733,2.344,1.772,2.292,0.734
479.5,22.54,1.801,2.027,0.12,2.452,1.531,2.071,1.723,2.331,1.58,2.282,0.788
480,22.54,1.857,2.03,0.12,2.452,1.578,2.135,1.726,2.335,1.623,2.284,0.776
480.5,22.56,2.059,2.039,0.12,2.452,1.75,2.368,1.733,2.345,1.777,2.292,0.732
481,22.56,2.221,2.045,0.12,2.452,1.888,2.554,1.738,2.351,1.9,2.297,0.698
481.5,22.58,1.953,2.034,0.12,2.452,1.66,2.246,1.729,2.34,1.696,2.288,0.755
482,22.58,1.688,2.021,0.12,2.452,1.435,1.941,1.718,2.324,1.492,2.277,0.813
482.5,22.61,1.429,2.004,0.12,2.452,1.215,1.643,1.704,2.305,1.289,2.262,0.871
483,22.61,1.838,2.029,0.12,2.452,1.562,2.114,1.725,2.333,1.608,2.284,0.78
483.5,22.63,2.48,2.053,0.12,2.452,2.108,2.852,1.745,2.361,2.094,2.304,0.643
484,22.63,4.196,1.524,0.3,2.155,3.566,4.825,1.296,1.753,2.346,2.312,0.572
484.5,22.66,4.742,1.532,0.3,2.155,4.031,5.453,1.302,1.761,2.556,2.317,0.512
485,22.66,6.372,1.547,0.3,2.155,5.416,7.328,1.315,1.779,3.143,2.328,0.347
485.5,22.7,6.719,1.55,0.3,2.155,5.711,7.727,1.317,1.782,3.261,2.33,0.313
486,22.7,6.88,1.551,0.3,2.155,5.848,7.912,1.318,1.783,3.316,2.331,0.297
486.5,22.73,7.252,1.553,0.3,2.155,6.164,8.339,1.32,1.786,3.44,2.332,0.262
487,22.73,7.748,1.556,0.3,2.155,6.586,8.911,1.322,1.789,3.604,2.334,0.216
487.5,22.76,7.372,1.554,0.3,2.155,6.266,8.478,1.321,1.787,3.48,2.333,0.251
488,22.76,7.002,1.552,0.3,2.155,5.952,8.053,1.319,1.784,3.357,2.331,0.286
488.5,22.79,6.695,1.549,0.3,2.155,5.691,7.699,1.317,1.782,3.253,2.33,0.315
489,22.79,6.451,1.548,0.3,2.155,5.484,7.419,1.316,1.78,3.17,2.328,0.339
489.5,22.81,5.992,1.544,0.3,2.155,5.093,6.891,1.313,1.776,3.01,2.326,0.384
490,22.81,3.389,2.072,0.12,2.452,2.881,3.898,1.761,2.383,2.756,2.321,0.456
490.5,22.83,3.036,2.066,0.12,2.452,2.58,3.491,1.756,2.376,2.501,2.316,0.528
491,22.83,2.831,2.062,0.12,2.452,2.406,3.255,1.752,2.371,2.352,2.312,0.57
491.5,22.85,2.68,2.058,0.12,2.452,2.278,3.082,1.749,2.367,2.241,2.309,0.601
492,22.85,2.531,2.054,0.12,2.452,2.151,2.91,1.746,2.362,2.131,2.306,0.632
492.5,22.87,2.382,2.05,0.12,2.452,2.025,2.74,1.742,2.357,2.021,2.302,0.664
493,22.87,2.235,2.045,0.12,2.452,1.9,2.571,1.738,2.352,1.911,2.298,0.695
493.5,22.89,2.185,2.044,0.12,2.452,1.858,2.513,1.737,2.35,1.873,2.296,0.705
494,22.89,3.012,1.501,0.3,2.155,2.56,3.464,1.276,1.726,1.86,2.296,0.709
494.5,22.91,3.031,1.502,0.3,2.155,2.576,3.485,1.276,1.727,1.868,2.296,0.707
495,22.91,3.458,1.511,0.3,2.155,2.94,3.977,1.285,1.738,2.049,2.303,0.656
495.5,22.93,3.903,1.52,0.3,2.155,3.317,4.488,1.292,1.748,2.23,2.309,0.605
496,22.93,5.634,1.085,0.4,1.99,4.789,6.479,0.922,1.248,2.306,2.311,0.583
496.5,22.95,5.828,1.087,0.4,1.99,4.954,6.703,0.924,1.25,2.354,2.312,0.57
497,22.95,5.909,1.088,0.4,1.99,5.023,6.796,0.925,1.251,2.373,2.313,0.564
497.5,22.97,4.621,1.072,0.4,1.99,3.928,5.314,0.911,1.232,2.048,2.303,0.656
498,22.97,3.464,1.049,0.4,1.99,2.944,3.983,0.892,1.207,1.722,2.29,0.748
498.5,23,3.308,1.045,0.4,1.99,2.811,3.804,0.889,1.202,1.675,2.287,0.761
499,23,4.325,1.067,0.4,1.99,3.676,4.974,0.907,1.227,1.968,2.3,0.679
499.5,23.02,3.891,1.059,0.4,1.99,3.307,4.474,0.9,1.217,1.847,2.295,0.713
500,23.02,3.559,1.052,0.4,1.99,3.025,4.093,0.894,1.209,1.751,2.291,0.74
500.5,23.05,3.906,1.059,0.4,1.99,3.32,4.492,0.9,1.218,1.851,2.295,0.712
501,23.05,4.265,1.066,0.4,1.99,3.625,4.904,0.906,1.226,1.951,2.299,0.683
501.5,23.07,4.187,1.064,0.4,1.99,3.559,4.815,0.905,1.224,1.93,2.299,0.689
502,23.07,3.908,1.059,0.4,1.99,3.322,4.495,0.9,1.218,1.852,2.295,0.711
502.5,23.1,3.636,1.053,0.4,1.99,3.091,4.182,0.895,1.211,1.773,2.292,0.734
503,23.1,3.373,1.047,0.4,1.99,2.867,3.879,0.89,1.204,1.695,2.288,0.756
503.5,23.13,3.007,1.037,0.4,1.99,2.556,3.459,0.881,1.192,1.582,2.282,0.788
504,23.13,1.653,2.019,0.12,2.452,1.405,1.901,1.716,2.322,1.465,2.275,0.821
504.5,23.16,1.503,2.01,0.12,2.452,1.277,1.728,1.708,2.311,1.347,2.266,0.854
505,23.16,1.386,2.001,0.12,2.452,1.178,1.594,1.701,2.301,1.255,2.259,0.88
505.5,23.19,1.386,1.991,0.12,2.452,1.178,1.594,1.692,2.29,1.255,2.25,0.906
506,23.19,1.386,1.98,0.12,2.452,1.178,1.594,1.683,2.277,1.255,2.24,0.931
506.5,23.23,1.386,1.971,0.12,2.452,1.178,1.594,1.675,2.266,1.255,2.232,0.949
507,23.23,1.386,1.964,0.12,2.452,1.178,1.594,1.67,2.259,1.255,2.227,0.96
507.5,23.26,1.386,1.958,0.12,2.452,1.178,1.594,1.664,2.251,1.255,2.221,0.971
508,23.26,1.386,1.95,0.12,2.452,1.178,1.594,1.658,2.243,1.255,2.214,0.983
508.5,23.31,1.386,1.942,0.12,2.452,1.178,1.594,1.651,2.234,1.255,2.207,0.994
509,23.31,1.386,1.934,0.12,2.452,1.178,1.594,1.644,2.224,1.255,2.2,1.004
509.5,23.35,1.386,1.927,0.12,2.452,1.178,1.594,1.638,2.216,1.255,2.193,1.013
510,23.35,1.386,1.918,0.12,2.452,1.178,1.594,1.631,2.206,1.255,2.186,1.023
510.5,23.39,1.386,1.91,0.12,2.452,1.178,1.594,1.623,2.196,1.255,2.178,1.032
511,23.39,1.386,1.9,0.12,2.452,1.178,1.594,1.615,2.185,1.255,2.17,1.041
511.5,23.44,1.386,1.906,0.12,2.452,1.178,1.594,1.62,2.192,1.255,2.175,1.035
512,23.44,1.386,1.922,0.12,2.452,1.178,1.594,1.633,2.21,1.255,2.189,1.019
512.5,23.49,1.386,1.935,0.12,2.452,1.178,1.594,1.645,2.226,1.255,2.201,1.003
513,23.49,1.386,1.947,0.12,2.452,1.178,1.594,1.655,2.239,1.255,2.212,0.987
513.5,23.54,1.386,1.957,0.12,2.452,1.178,1.594,1.663,2.25,1.255,2.22,0.973
514,23.54,1.386,1.964,0.12,2.452,1.178,1.594,1.67,2.259,1.255,2.227,0.96
514.5,23.6,1.386,1.97,0.12,2.452,1.178,1.594,1.675,2.266,1.255,2.232,0.95
515,23.6,1.386,1.966,0.12,2.452,1.178,1.594,1.672,2.261,1.255,2.229,0.956
515.5,23.65,1.386,1.962,0.12,2.452,1.178,1.594,1.668,2.257,1.255,2.225,0.963
516,23.65,1.386,1.958,0.12,2.452,1.178,1.594,1.665,2.252,1.255,2.221,0.97
516.5,23.7,1.386,1.972,0.12,2.452,1.178,1.594,1.676,2.267,1.255,2.233,0.947
517,23.7,1.323,1.996,0.12,2.452,1.124,1.521,1.696,2.295,1.204,2.254,0.895
517.5,23.74,1.556,2.013,0.12,2.452,1.323,1.789,1.711,2.315,1.389,2.27,0.842
518,23.74,1.676,2.021,0.12,2.452,1.425,1.928,1.718,2.324,1.483,2.276,0.816
518.5,23.79,1.587,2.015,0.12,2.452,1.349,1.825,1.713,2.317,1.413,2.271,0.835
519,23.79,1.811,2.028,0.12,2.452,1.539,2.083,1.724,2.332,1.588,2.282,0.786
519.5,23.84,2.013,2.037,0.12,2.452,1.711,2.315,1.731,2.342,1.742,2.29,0.742
520,23.84,1.992,2.036,0.12,2.452,1.693,2.291,1.731,2.341,1.726,2.29,0.747
520.5,23.88,1.971,2.035,0.12,2.452,1.676,2.267,1.73,2.34,1.71,2.289,0.751
521,23.88,1.986,2.036,0.12,2.452,1.688,2.284,1.73,2.341,1.722,2.29,0.748
521.5,23.92,2.288,2.047,0.12,2.452,1.945,2.631,1.74,2.354,1.95,2.299,0.684
522,23.92,3.776,1.517,0.3,2.155,3.209,4.342,1.29,1.745,2.179,2.307,0.619
522.5,23.95,4.58,1.53,0.3,2.155,3.893,5.267,1.3,1.759,2.494,2.316,0.53
523,23.95,5.461,1.539,0.3,2.155,4.642,6.281,1.309,1.77,2.821,2.323,0.437
523.5,23.98,6.387,1.547,0.3,2.155,5.429,7.345,1.315,1.779,3.148,2.328,0.345
524,23.98,6.224,1.546,0.3,2.155,5.29,7.157,1.314,1.778,3.091,2.327,0.361
524.5,24.02,5.916,1.544,0.3,2.155,5.028,6.803,1.312,1.775,2.983,2.325,0.392
525,24.02,6.33,1.547,0.3,2.155,5.38,7.279,1.315,1.779,3.128,2.328,0.351
525.5,24.05,6.753,1.55,0.3,2.155,5.74,7.766,1.317,1.782,3.273,2.33,0.31
526,24.05,3.846,2.078,0.12,2.452,3.269,4.423,1.767,2.39,3.08,2.327,0.364
526.5,24.08,3.573,2.075,0.12,2.452,3.037,4.109,1.764,2.386,2.886,2.324,0.419
527,24.08,3.341,2.071,0.12,2.452,2.84,3.842,1.761,2.382,2.721,2.321,0.466
527.5,24.1,3.168,2.068,0.12,2.452,2.693,3.643,1.758,2.379,2.596,2.318,0.501
528,24.1,3.205,2.069,0.12,2.452,2.724,3.685,1.759,2.379,2.623,2.319,0.493
528.5,24.13,3.242,2.07,0.12,2.452,2.755,3.728,1.759,2.38,2.65,2.319,0.486
529,24.13,3.493,2.074,0.12,2.452,2.969,4.017,1.763,2.385,2.83,2.323,0.435
529.5,24.15,3.762,2.077,0.12,2.452,3.198,4.326,1.766,2.389,3.02,2.326,0.381
530,24.15,6.571,1.549,0.3,2.155,5.586,7.557,1.316,1.781,3.211,2.329,0.327
530.5,24.17,7.136,1.552,0.3,2.155,6.065,8.206,1.319,1.785,3.402,2.332,0.273
531,24.17,7.597,1.555,0.3,2.155,6.457,8.736,1.322,1.788,3.554,2.334,0.23
531.5,24.2,7.609,1.555,0.3,2.155,6.468,8.75,1.322,1.788,3.558,2.334,0.229
532,24.2,7.806,1.556,0.3,2.155,6.635,8.977,1.323,1.79,3.623,2.334,0.211
532.5,24.22,8.116,1.558,0.3,2.155,6.899,9.333,1.324,1.791,3.723,2.335,0.183
533,24.22,8.429,1.559,0.3,2.155,7.165,9.694,1.325,1.793,3.823,2.336,0.154
533.5,24.25,8.746,1.561,0.3,2.155,7.434,10.058,1.327,1.795,3.923,2.337,0.126
534,24.25,8.653,1.56,0.3,2.155,7.355,9.951,1.326,1.794,3.894,2.337,0.134
534.5,24.27,8.321,1.559,0.3,2.155,7.073,9.569,1.325,1.793,3.788,2.336,0.164
535,24.27,7.992,1.557,0.3,2.155,6.793,9.191,1.324,1.791,3.683,2.335,0.194
535.5,24.29,7.667,1.555,0.3,2.155,6.517,8.817,1.322,1.789,3.577,2.334,0.224
536,24.29,8.135,1.558,0.3,2.155,6.915,9.355,1.324,1.792,3.729,2.335,0.181
536.5,24.31,8.707,1.561,0.3,2.155,7.401,10.013,1.326,1.795,3.91,2.337,0.13
537,24.31,8.665,1.56,0.3,2.155,7.366,9.965,1.326,1.794,3.897,2.337,0.133
537.5,24.33,8.475,1.559,0.3,2.155,7.204,9.746,1.326,1.793,3.837,2.337,0.15
538,24.33,7.772,1.556,0.3,2.155,6.606,8.938,1.323,1.789,3.611,2.334,0.214
538.5,24.35,7.543,1.555,0.3,2.155,6.412,8.675,1.322,1.788,3.537,2.333,0.235
539,24.35,7.728,1.556,0.3,2.155,6.569,8.887,1.322,1.789,3.597,2.334,0.218
539.5,24.36,8.273,1.559,0.3,2.155,7.032,9.514,1.325,1.792,3.773,2.336,0.168
540,24.36,8.395,1.559,0.3,2.155,7.136,9.654,1.325,1.793,3.812,2.336,0.157
540.5,24.38,8.064,1.557,0.3,2.155,6.854,9.273,1.324,1.791,3.706,2.335,0.187
541,24.38,7.737,1.556,0.3,2.155,6.576,8.897,1.322,1.789,3.6,2.334,0.217
541.5,24.4,7.411,1.554,0.3,2.155,6.3,8.523,1.321,1.787,3.493,2.333,0.247
542,24.4,7.265,1.553,0.3,2.155,6.175,8.354,1.32,1.786,3.445,2.332,0.261
542.5,24.42,7.55,1.555,0.3,2.155,6.418,8.683,1.322,1.788,3.539,2.333,0.234
