%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
29.5,9.1,7.305,1.553,0.3,2.155,6.209,8.401,1.32,1.786,3.458,2.332,-0.002
30,9.11,7.262,1.553,0.3,2.155,6.173,8.351,1.32,1.786,3.444,2.332,0.006
30.5,9.12,7.326,1.553,0.3,2.155,6.227,8.425,1.32,1.787,3.465,2.332,-0.005
31,9.13,6.943,1.551,0.3,2.155,5.902,7.985,1.318,1.784,3.337,2.331,0.059
31.5,9.14,6.303,1.547,0.3,2.155,5.357,7.248,1.315,1.779,3.119,2.328,0.169
32,9.15,3.174,2.29,0.02,2.617,2.698,3.65,1.946,2.633,3.07,2.327,0.193
32.5,9.16,3.223,2.29,0.02,2.617,2.74,3.707,1.947,2.634,3.117,2.328,0.17
33,9.17,3.255,2.291,0.02,2.617,2.767,3.743,1.947,2.635,3.147,2.328,0.155
33.5,9.18,3.225,2.29,0.02,2.617,2.741,3.709,1.947,2.634,3.119,2.328,0.169
34,9.19,3.242,2.291,0.02,2.617,2.756,3.729,1.947,2.634,3.135,2.328,0.161
34.5,9.2,3.225,2.29,0.02,2.617,2.741,3.709,1.947,2.634,3.119,2.328,0.169
35,9.21,3.196,2.29,0.02,2.617,2.717,3.676,1.947,2.634,3.091,2.327,0.183
35.5,9.22,3.21,2.29,0.02,2.617,2.729,3.692,1.947,2.634,3.105,2.327,0.176
36,9.23,3.235,2.291,0.02,2.617,2.75,3.721,1.947,2.634,3.129,2.328,0.164
36.5,9.24,3.211,2.29,0.02,2.617,2.729,3.693,1.947,2.634,3.105,2.327,0.176
37,9.25,3.179,2.29,0.02,2.617,2.702,3.656,1.946,2.633,3.075,2.327,0.191
37.5,9.26,3.189,2.29,0.02,2.617,2.71,3.667,1.946,2.633,3.084,2.327,0.186
38,9.27,3.228,2.291,0.02,2.617,2.743,3.712,1.947,2.634,3.121,2.328,0.168
38.5,9.28,3.243,2.291,0.02,2.617,2.757,3.73,1.947,2.634,3.136,2.328,0.16
39,9.29,3.206,2.29,0.02,2.617,2.725,3.687,1.947,2.634,3.101,2.327,0.178
39.5,9.3,3.169,2.29,0.02,2.617,2.694,3.644,1.946,2.633,3.066,2.327,0.196
40,9.31,3.162,2.29,0.02,2.617,2.688,3.636,1.946,2.633,3.059,2.327,0.199
40.5,9.32,3.187,2.29,0.02,2.617,2.709,3.666,1.946,2.633,3.083,2.327,0.187
41,9.33,3.153,2.289,0.02,2.617,2.68,3.626,1.946,2.633,3.051,2.327,0.203
